,PV474290_Ommatogammarus_albinus_isolate_BK_14_Oa_1000m_,PV474291_Ommatogammarus_albinus_isolate_BK_15_Oa_650m_,PV474293_Ommatogammarus_albinus_isolate_BK_22_Oa_1000m_,PV474347_Ommatogammarus_flavus_isolate_BK_10_Of_650m_,PV474370_Ommatogammarus_flavus_isolate_BK_43_Of_250m_,PV474367_Ommatogammarus_flavus_isolate_BK_3_Of_250m_,PV474360_Ommatogammarus_flavus_isolate_BK_28_Of_100m_,PV474361_Ommatogammarus_flavus_isolate_BK_29_Of_25m_,PV474349_Ommatogammarus_flavus_isolate_BK_12_Of_100m_,PV474368_Ommatogammarus_flavus_isolate_BK_41_Of_1000m_,PV474364_Ommatogammarus_flavus_isolate_BK_33_Of_1000m_,PV474353_Ommatogammarus_flavus_isolate_BK_19_Of_250m_,PV474357_Ommatogammarus_flavus_isolate_BK_25_Of_1000m_,PV474355_Ommatogammarus_flavus_isolate_BK_20_Of_100m_,PV474356_Ommatogammarus_flavus_isolate_BK_21_Of_25m_,PV474372_Ommatogammarus_flavus_isolate_BK_4_Of_100m_,PV474348_Ommatogammarus_flavus_isolate_BK_11_Of_250m_,PV474350_Ommatogammarus_flavus_isolate_BK_13_Of_25m_,PV474359_Ommatogammarus_flavus_isolate_BK_27_Of_250m_,PV474366_Ommatogammarus_flavus_isolate_BK_35_Of_25m_,PV474371_Ommatogammarus_flavus_isolate_BK_44_Of_100m_,PV474365_Ommatogammarus_flavus_isolate_BK_34_Of_1000m_,PV474354_Ommatogammarus_flavus_isolate_BK_1_Of_1000m_,PV474358_Ommatogammarus_flavus_isolate_BK_26_Of_650m_,PV474351_Ommatogammarus_flavus_isolate_BK_17_Of_1000m_,PV474363_Ommatogammarus_flavus_isolate_BK_31_Of_650m_,PV474352_Ommatogammarus_flavus_isolate_BK_18_Of_650m_,PV474362_Ommatogammarus_flavus_isolate_BK_2_Of_650m_,PV474369_Ommatogammarus_flavus_isolate_BK_42_31_Of_650m_,PZ495199_Pretiositus_amethystinus_isolate_Ocsp_21_1_,PZ495208_Pretiositus_amethystinus_isolate_Ocsp_21_10_,PZ495210_Pretiositus_amethystinus_isolate_Ocsp_21_12_,PZ495220_Pretiositus_amethystinus_isolate_Ocsp_23_1_,PZ495232_Pretiositus_amethystinus_isolate_Ocsp_23_14_,PZ495200_Pretiositus_amethystinus_isolate_Ocsp_21_2_,PZ495201_Pretiositus_amethystinus_isolate_Ocsp_21_3_,PZ495204_Pretiositus_amethystinus_isolate_Ocsp_21_6_,PZ495214_Pretiositus_amethystinus_isolate_Ocsp_21_16_,PZ495202_Pretiositus_amethystinus_isolate_Ocsp_21_4_,PZ495207_Pretiositus_amethystinus_isolate_Ocsp_21_9_,PZ495215_Pretiositus_amethystinus_isolate_Ocsp_21_17_,PZ495203_Pretiositus_amethystinus_isolate_Ocsp_21_5_,PZ495224_Pretiositus_amethystinus_isolate_Ocsp_23_5_,PZ495209_Pretiositus_amethystinus_isolate_Ocsp_21_11_,PZ495221_Pretiositus_amethystinus_isolate_Ocsp_23_2_,PZ495223_Pretiositus_amethystinus_isolate_Ocsp_23_4_,PZ495216_Pretiositus_amethystinus_isolate_Ocsp_21_18_,PZ495213_Pretiositus_amethystinus_isolate_Ocsp_21_15_,PZ495212_Pretiositus_amethystinus_isolate_Ocsp_21_14_,PZ495211_Pretiositus_amethystinus_isolate_Ocsp_21_13_,PZ495205_Pretiositus_amethystinus_isolate_Ocsp_21_7_,PZ495230_Pretiositus_amethystinus_isolate_Ocsp_23_12_,PZ495226_Pretiositus_amethystinus_isolate_Ocsp_23_7_,PZ495231_Pretiositus_amethystinus_isolate_Ocsp_23_13_,PZ495217_Pretiositus_amethystinus_isolate_Ocsp_21_19_,PZ495206_Pretiositus_amethystinus_isolate_Ocsp_21_8_,PZ495227_Pretiositus_amethystinus_isolate_Ocsp_23_9_,PZ495225_Pretiositus_amethystinus_isolate_Ocsp_23_6_,PZ495218_Pretiositus_melanophthalmus_isolate_Ome_21_35_,PZ495239_Pretiositus_melanophthalmus_isolate_Ome_25_8_,PZ495219_Pretiositus_melanophthalmus_isolate_Ome_21_36_,PZ495238_Pretiositus_melanophthalmus_isolate_Ome_25_7_,PZ495235_Pretiositus_melanophthalmus_isolate_Ome_25_3_,PZ495242_Pretiositus_melanophthalmus_isolate_Ome_25_13_,PZ495228_Pretiositus_melanophthalmus_isolate_Ome_23_10_,PZ495234_Pretiositus_melanophthalmus_isolate_Ome_25_2_,PZ495241_Pretiositus_melanophthalmus_isolate_Ome_25_11_,PZ495233_Pretiositus_melanophthalmus_isolate_Ome_25_1_,PZ495222_Pretiositus_melanophthalmus_isolate_Ome_23_3_,PZ495229_Pretiositus_melanophthalmus_isolate_Ome_23_11_,PZ495236_Pretiositus_melanophthalmus_isolate_Ome_25_4_,PZ495237_Pretiositus_melanophthalmus_isolate_Ome_25_5_,PZ495240_Pretiositus_melanophthalmus_isolate_Ome_25_9_,PZ495243_Pretiositus_melanophthalmus_isolate_Ohy_25_,PV474301_Ommatogammarus_albinus_isolate_BK_39_Oa_100m_,PV474308_Ommatogammarus_albinus_isolate_BK_7_Oa_650m_,PV474307_Ommatogammarus_albinus_isolate_BK_6_Oa_1000m_,PV474300_Ommatogammarus_albinus_isolate_BK_38_Oa_100m_,PV474299_Ommatogammarus_albinus_isolate_BK_37_Oa_100m_,PV474303_Ommatogammarus_albinus_isolate_BK_45_Oa_1000m_,PV474295_Ommatogammarus_albinus_isolate_BK_24_Oa_250m_,PV474306_Ommatogammarus_albinus_isolate_BK_48_Oa_100m_,PV474304_Ommatogammarus_albinus_isolate_BK_46_Oa_650m_,PV474298_Ommatogammarus_albinus_isolate_BK_36_Oa_1000m_,PV474302_Ommatogammarus_albinus_isolate_BK_40_Oa_100m_,PV474296_Ommatogammarus_albinus_isolate_BK_30_Oa_1000m_,PV474294_Ommatogammarus_albinus_isolate_BK_23_Oa_650m_,PV474292_Ommatogammarus_albinus_isolate_BK_16_Oa_250m_,PV474305_Ommatogammarus_albinus_isolate_BK_47_Oa_250m_,PV474297_Ommatogammarus_albinus_isolate_BK_32_Oa_250m_
PV474290_Ommatogammarus_albinus_isolate_BK_14_Oa_1000m_,0,0.0000020,0.0021861245,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2419146373,0.2440349615,0.2440319083,0.2440258489,0.2484778659,0.2506075478,0.2526781689,0.2505953961,0.2570734986,0.2484860843,0.2547884733,0.2505804095,0.2505804095,0.2571044016,0.2571044016,0.2612864065,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2570163979,0.2549588573,0.2463882094,0.2463872094,0.2484821604,0.2484748616,0.2442942460,0.2229618682,0.2229597456,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2229538352,0.2229567902,0.2229556101,0.2209267002,0.2168535064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PV474291_Ommatogammarus_albinus_isolate_BK_15_Oa_650m_,0.0000020,0,0.0021861245,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2419146373,0.2440349615,0.2440319083,0.2440258489,0.2484778659,0.2506075478,0.2526781689,0.2505953961,0.2570734986,0.2484860843,0.2547884733,0.2505804095,0.2505804095,0.2571044016,0.2571044016,0.2612864065,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2549215985,0.2570163979,0.2549588573,0.2463882094,0.2463872094,0.2484821604,0.2484748616,0.2442942460,0.2229618682,0.2229597456,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2209332460,0.2229538352,0.2229567902,0.2229556101,0.2209267002,0.2168535064,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,
PV474293_Ommatogammarus_albinus_isolate_BK_22_Oa_1000m_,0.0021861245,0.0021861245,0,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2440947544,0.2462166241,0.2462166241,0.2462166241,0.2462166241,0.2462166241,0.2462166241,0.2462166241,0.2462166241,0.2440967618,0.2462170860,0.2462140328,0.2462079734,0.2506599904,0.2527896723,0.2548602934,0.2527775206,0.2592556231,0.2506682088,0.2569705978,0.2527625340,0.2527625340,0.2592865261,0.2592865261,0.2634685310,0.2571037230,0.2571037230,0.2571037230,0.2571037230,0.2571037230,0.2571037230,0.2571037230,0.2571037230,0.2571037230,0.2571037230,0.2591985224,0.2571409818,0.2485703339,0.2485693339,0.2506642849,0.2506569861,0.2464763705,0.2251439927,0.2251418701,0.2231153705,0.2231153705,0.2231153705,0.2231153705,0.2231153705,0.2231153705,0.2231153705,0.2231153705,0.2231153705,0.2251359597,0.2251389147,0.2251377346,0.2231088247,0.2190356309,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,0.0021861245,
PV474347_Ommatogammarus_flavus_isolate_BK_10_Of_650m_,0.2419126299,0.2419126299,0.2440947544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474370_Ommatogammarus_flavus_isolate_BK_43_Of_250m_,0.2419126299,0.2419126299,0.2440947544,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474367_Ommatogammarus_flavus_isolate_BK_3_Of_250m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474360_Ommatogammarus_flavus_isolate_BK_28_Of_100m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474361_Ommatogammarus_flavus_isolate_BK_29_Of_25m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474349_Ommatogammarus_flavus_isolate_BK_12_Of_100m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474368_Ommatogammarus_flavus_isolate_BK_41_Of_1000m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
