Node label	Matching Sequences
Ofl	Ofl
	GEQS01032681.1:6400-8661 TSA: Ommatogammarus flavus c34027_g2_i1 transcribed RNA sequence|revcompl
	Of21-18S_full
Oal	Oal
	GEQR01040326.1:62-2321 TSA: Ommatogammarus albinus c43420_g1_i1 transcribed RNA sequence|revcompl
	Oa8-18S_full
	AY926802.1_Ommatogammarus_albinus_18S_ribosomal_RNA_gene,_partial_sequence
Ome	Ome
	AY926752.1_Abludogammarus_flavus_18S_ribosomal_RNA_gene,_partial_sequence
	Ocm35-18S_full
	Ocsp12-23-18S_full
	Omm_c_1-23_18S
	Omm_c_3-21_18S
	Omm_c_4-21_18S
	Omm_c_8-21_18S
	Omm_c_9-21_18S
	Omm_c_11-23_18S
	Omm_c_14-23_18S
	Omm_c_17-21_18S
